CustomerID,Gender,Age,Location,ProductCategory,PurchaseAmount,LastPurchaseDate,IsChurned,SupportTickets,MarketingEngagement,Recency,Cluster,LeadSource,SalesStage,DaysInStage,CustomerReview,Sentiment,Polarity
1,Other,54,Port Tonyland,Security Camera,420.87,18-06-2024,1,3,40,300,2,Email,Lead,4,Great product! Really loved the smart features.,Positive,0.638095238
2,Female,33,East Jeremy,Security Camera,419.51,19-11-2024,0,5,43,146,0,Social Media,Qualified,7,Fast delivery and easy setup.,Positive,0.316666667
3,Male,55,Rachelton,Smart Plug,406.99,22-04-2023,0,3,72,723,2,Referral,Demo,10,"Customer service was okay, but not great.",Neutral,0.05
4,Male,44,Davidburgh,Smart Thermostat,394.43,11-07-2024,1,1,80,277,0,Webinar,Negotiation,9,"Customer service was okay, but not great.",Neutral,0.05
5,Other,42,Greenstad,Smart Light,283.81,24-10-2024,0,5,61,172,0,Ad Campaign,Won,3,Product quality is bad. Not worth the money.,Negative,-0.425
6,Other,23,Leachtown,Security Camera,355.89,25-08-2024,0,3,9,232,3,Email,Lost,2,The app is buggy and crashes often.,Neutral,0
7,Female,42,Donnaland,Smart Speaker,198.21,21-10-2023,1,2,81,541,1,Referral,Qualified,6,Great product! Really loved the smart features.,Positive,0.638095238
8,Male,18,Lake Kayla,Smart Light,281.36,24-06-2023,1,3,41,660,2,Webinar,Lead,5,Works perfectly and integrates well with my other devices.,Positive,0.4375
9,Male,32,Port Richardport,Smart Plug,395.1,10-05-2024,0,3,7,339,3,Ad Campaign,Demo,13,Great product! Really loved the smart features.,Positive,0.638095238
10,Other,27,Weavermouth,Smart Thermostat,237.95,03-09-2024,0,2,19,223,3,Social Media,Negotiation,15,Terrible experience. It stopped working in a week.,Negative,-1
11,Other,23,Randallburgh,Wearable,392.98,07-06-2024,0,2,70,311,0,Email,Won,4,Terrible experience. It stopped working in a week.,Negative,-1
12,Other,27,East Harold,Smart Speaker,87.24,20-12-2023,1,4,23,481,1,Social Media,Lost,1,Fast delivery and easy setup.,Positive,0.316666667
13,Female,68,Santosland,Smart Thermostat,218.8,19-07-2024,0,2,3,269,3,Referral,Qualified,9,The app is buggy and crashes often.,Neutral,0
